Annotation of K4/K36 DHMSs for 18795 RefSeq genes. Expression data retrieved from in Mikkelson et.al. (2007),,,,,,,,,
,,,,,,,,,
RefSeq ID,symbol,chrom,txStart,txEnd,strand,K4 DHMS,K36 DHMS,expression in ESC,expression in NPC
NM_026502,1110004E09Rik,chr2,126700151,126761255,+,None,None,730.6287263,243.2574507
NM_019772,1110004F10Rik,chr7,108546034,108546964,+,None,None,2045.667641,3789.206572
NM_028865,1110005A03Rik,chr1,63969951,64055665,-,ES,None,NA,NA
NM_025364,1110005A23Rik,chr14,56077413,56087687,-,None,None,NA,NA
NM_028661,1110006G06Rik,chr11,55001914,55028500,-,ES,None,256.9730983,77.65553731
NM_001033141,1110006O17Rik,chr10,50584065,50677567,+,ES,None,44.96816092,17.77382425
NM_024288,1110007A06Rik,chr7,45972564,46048075,-,None,None,NA,NA
NM_145955,1110007A13Rik,chr7,108616242,108617174,-,None,None,936.9214729,731.0469099
NM_026738,1110007C09Rik,chr17,37912574,37913512,-,None,None,NA,NA
NM_026269,1110007L15Rik,chr6,134001399,134235838,+,None,None,515.6655687,570.7611416
NM_026742,1110007M04Rik,chr5,100196237,100219240,-,None,None,812.6538157,1465.175251
NM_028632,1110008B24Rik,chr17,25463639,25475930,+,None,None,NA,NA
NM_026124,1110008F13Rik,chr3,152174371,152203641,-,None,None,2980.27542,5501.569325
NM_029096,1110008J03Rik,chr6,52243075,52247956,+,None,None,133.7507153,56.27982841
NM_028628,1110008K04Rik,chr4,82888974,82924571,+,None,None,10.60859065,10.29959467
NM_198001,1110008P14Rik,chr3,135522043,135628934,-,None,None,222.9922772,279.7969447
NM_178066,1110012D08Rik,chr14,29830714,29840994,+,None,None,27.6680742,178.7498136
NM_172963,1110012J17Rik,chr2,69470958,69485078,+,None,ES,452.3267914,95.82246391
NM_026787,1110012L19Rik,chrX,70169594,70174633,-,None,None,797.9374239,810.5883223
NM_028617,1110012M11Rik,chr12,112861724,112871020,-,ES,None,309.419299,303.0146923
NM_001014995,1110013L07Rik,chr11,54090692,54093322,-,ES,None,148.7719417,97.25170437
NM_028618,1110014F24Rik,chr7,108636241,108637185,-,None,None,NA,NA
NM_029101,1110014J01Rik,chr19,12865627,12900827,+,None,None,344.2609642,322.064447
NM_028622,1110014K05Rik,chr4,124568996,124576339,+,None,None,7.268704591,7.02669692
NM_176902,1110014K08Rik,chr15,103068465,103072989,+,None,None,NA,NA
NM_001081041,1110014N23Rik,chr3,145875417,145881661,+,None,None,132.3918108,687.0155439
NM_026748,1110015K06Rik,chr6,33179307,33903086,+,None,None,NA,NA
NM_001048005,1110017D15Rik,chr5,100273880,100279524,-,None,None,5.43405246,5.409261876
NM_026754,1110017I16Rik,chr3,102598988,102650066,+,None,None,17.38203251,14.81290084
NM_178065,1110018G07Rik,chr17,24785302,24808714,-,None,None,160.7393783,106.2180953
NM_025370,1110018J18Rik,chr17,37882825,37883763,+,None,None,55.86801832,43.11346312
NM_026271,1110018M03Rik,chr11,99724009,99724980,+,ES,None,3.685489862,3.662083926
NM_001099675,1110019J04Rik,chr5,78161765,78189898,-,None,None,NA,NA
NM_026788,1110019K23Rik,chr6,47459866,47524606,-,None,NP,18.49289887,1569.566388
NM_026753,1110019N10Rik,chr8,82162495,82191009,-,None,None,1606.286271,1818.172747
NM_026789,1110020C03Rik,chr5,123432424,123443304,-,None,None,4.927711929,4.851415738
NM_001085410,1110020G09Rik,chr19,4611791,4615502,-,None,None,1228.677901,323.1152674
NM_028633,1110020L19Rik,chrX,70147077,70163949,-,None,None,NA,NA
NM_197979,1110020P15Rik,chr15,102794898,102799755,+,None,None,468.2061765,296.1120587
NM_026393,1110025F24Rik,chr2,154235845,154250294,-,None,None,NA,NA
NM_026808,1110028A07Rik,chr18,65149262,65338676,+,None,None,4.441508182,4.36334924
NM_177645,1110028C15Rik,chr13,101508026,101553121,-,None,NP,239.8520628,335.4024183
NM_172866,1110029E03Rik,chr5,112585082,112618715,+,None,None,279.0024193,269.3407185
NM_025397,1110030J09Rik,chr15,102782559,102784733,+,None,None,NA,NA
NM_144521,1110031B06Rik,chr15,102764886,102766551,+,None,None,1059.034067,850.6228167
NM_026811,1110031B11Rik,chr4,59899703,59998793,+,None,None,NA,NA
NM_025402,1110031I02Rik,chr15,102749164,102756847,+,None,None,176.4368999,209.0951395
NM_023483,1110032A03Rik,chr9,57475073,57481792,-,None,None,NA,NA
NM_133675,1110032A04Rik,chr11,98517402,98519719,+,ES,None,6.159611292,6.056442856
NM_199197,1110032A13Rik,chr2,65471334,65565668,+,None,None,295.4250636,290.6801973
NM_133187,1110032E23Rik,chr4,34356926,34378680,-,None,None,128.4946888,6.224513977
NM_026827,1110032O16Rik,chr7,108659385,108660329,-,None,None,60.71693336,192.9496832
NM_026807,1110033F04Rik,chr15,102862428,102864630,+,None,None,7.168454041,7.0013438
NM_027269,1110034A24Rik,chr17,32731556,32743874,+,None,None,503.3357457,295.3211478
NM_001037742,1110034B05Rik,chr13,101244319,101302349,-,None,None,386.9482737,242.8979794
NM_211355,1110034C04Rik,chr1,23799902,23876564,-,ES,None,NA,NA
NM_153194,1110034O07Rik,chr19,3584876,3686554,-,None,None,NA,NA
NM_176830,1110036O03Rik,chr1,134126171,134134903,+,ES,None,97.82808444,148.4310987
NM_001081183,1110037F02Rik,chr5,100919787,100959985,-,None,None,501.6354093,563.0963201
NM_026831,1110037P11Rik,chr4,43672828,43674652,-,None,None,NA,NA
NM_175133,1110038D17Rik,chr14,33139842,33173995,+,None,None,129.8689627,172.0543634
NM_054099,1110038F14Rik,chr19,5740903,5758532,+,None,None,588.1850351,900.0730707
NM_144525,1110039B18Rik,chr6,123138640,123169938,+,None,None,NA,NA
NM_001024478,1110049B09Rik,chr17,32617640,32629945,-,None,None,6.768926925,6.72205162
NM_025411,1110049F12Rik,chr5,137880643,137914405,-,None,None,618.9529472,496.9050309
NM_183389,1110051B16Rik,chr18,86529144,86635466,+,None,None,NA,NA
NM_175123,1110051M20Rik,chr3,102139215,102143567,+,None,None,177.0656834,319.2129605
NM_001013577,1110054O05Rik,chr11,69807566,69811139,+,ES,None,296.8321384,154.4696307
NM_026394,1110055J05Rik,chr4,140360420,140384835,+,None,None,4.603944497,4.576036645
NM_172401,1110057K04Rik,chr17,74433276,74608836,+,None,None,282.4665158,201.94064
NM_025413,1110058A15Rik,chr4,111217941,111327067,+,None,None,6.203420917,6.116492829
NM_026503,1110058L19Rik,chr13,101311996,101347593,-,None,None,954.1220633,680.4569149
NM_025423,1110059E24Rik,chr1,36643749,36654471,-,NP,None,688.2950599,1826.778168
NM_025419,1110059G10Rik,chr9,121763054,121764990,-,None,None,439.6021151,840.1617427
NM_025418,1110059P08Rik,chr1,153517591,153584269,+,NP,None,7.868362652,8.256222971
NM_176834,1110061N23Rik,chr11,104908308,104933627,+,ES,ES,10.02388335,4.327874212
NM_026849,1110061O04Rik,chr7,79146778,79235114,+,None,None,NA,NA
NM_172391,1110064P04Rik,chr15,102842041,102845463,+,None,None,342.4970726,1186.891291
NM_173752,1110067D22Rik,chr15,102837595,102839915,+,None,None,292.2256592,580.4659668
NM_001013019,1110067I12Rik,chr10,113803133,114205474,-,ES,None,12.10085778,6.630605072
NM_001033874,1190002A17Rik,chr11,120932306,120934767,-,ES,None,7.874152493,5.702136505
NM_028447,1190002C06Rik,chr2,65260703,65368333,-,None,None,NA,NA
NM_025427,1190002H23Rik,chr10,5987069,6080163,-,ES,None,139.0380007,6.841781827
NM_001033039,1190002J23Rik,chr1,58337681,58351094,+,ES,None,NA,NA
NM_001033145,1190002N15Rik,chr9,24375610,24376144,+,None,None,206.375782,343.899305
NM_029821,1190003J15Rik,chr11,54968245,54995129,-,ES,None,NA,NA
NM_026860,1190003M12Rik,chr7,33730326,33731639,+,None,None,7.280366607,7.13317819
NM_026876,1190005F20Rik,chr13,101381377,101416873,-,None,None,182.4806055,182.9235144
NM_197988,1190005I06Rik,chr12,4761596,4786067,-,ES,None,178.1941041,18.16424889
NM_025431,1190005P17Rik,chr14,76528099,76533123,-,None,None,2075.755947,2213.816557
NM_138743,1190017O12Rik,chr2,22626078,22727016,+,None,None,265.8151058,1470.512534
NM_001081115,1190020J12Rik,chr11,113060944,113381851,-,ES,None,2.938312818,2.917950943
NM_027878,1200002N14Rik,chr14,50038503,50039742,+,None,None,21.7733277,5.320553971
NM_024205,1200003C05Rik,chr1,72516477,72566337,+,ES,None,465.5399419,1009.741561
NM_001039965,1200003I07Rik,chr8,98241465,98263422,+,None,None,276.0653389,268.9944129
NM_027880,1200003M09Rik,chr2,90705624,90711399,+,None,None,NA,NA
NM_026169,1200004M23Rik,chr3,145513593,145542631,+,None,None,NA,NA
NM_027872,1200006F02Rik,chr11,74647120,74661905,+,ES,None,13.86354165,6.572548234
NM_026170,1200007D18Rik,chr2,107091492,107099341,+,None,None,NA,NA
NM_027078,1200009F10Rik,chr14,45730025,45744087,-,None,None,91.60025233,372.1589272
NM_028807,1200009I06Rik,chr1,154599213,154664840,-,ES,None,NA,NA
NM_025817,1200009O22Rik,chr7,33720685,33722643,-,None,None,8.989743845,50.08292641
NM_026177,1200011I18Rik,chr18,80768263,80875117,-,None,None,240.707936,132.6271789
NM_024262,1200011M11Rik,chr15,102818572,102821400,+,None,None,NA,NA
NM_027891,1200011O22Rik,chr6,71129466,71134602,+,None,None,1320.281294,495.3768031
NM_028773,1200013B08Rik,chrX,164139203,164648540,+,None,None,4.582249882,4.537622178
NM_029090,1200013P24Rik,chr2,94212565,94238986,-,None,None,NA,NA
NM_025818,1200014J11Rik,chr15,102805065,102812476,+,None,None,349.2039987,162.038191
NM_026173,1200014M14Rik,chr17,37560105,37561075,-,None,None,265.3840954,142.3555538
NM_026388,1200015A19Rik,chr5,118430793,118450506,+,None,None,1416.279158,1689.165884
NM_001033136,1200015F23Rik,chr3,25622913,26522982,-,None,None,475.3705229,365.0414905
NM_024244,1200015N20Rik,chr14,54626305,54632821,+,None,None,219.6760927,844.4472699
NM_025819,1200016B10Rik,chr13,101383371,101417945,-,None,None,478.2633798,135.2872529
NM_001081158,1300001I01Rik,chr15,34428725,34439779,-,None,None,409.8932568,399.4153273
NM_025827,1300002A08Rik,chr8,95716455,95742547,+,None,None,NA,NA
NM_028788,1300002K09Rik,chr5,39902184,40043724,-,None,None,5.078784487,5.0579816
NM_198003,1300003B13Rik,chr2,166794584,166880004,-,None,None,187.9629167,234.3788902
NM_001042485,1300007B12Rik,chr13,38353181,38507194,+,None,None,NA,NA
NM_026185,1300007F04Rik,chr1,136271965,136307284,+,ES,None,14.42102529,22.88724296
NM_028933,1300010M03Rik,chr15,76304699,76328226,+,None,None,53.39464034,155.2702225
NM_023625,1300012G16Rik,chr11,3558702,3590372,+,ES,None,108.233053,59.87432153
NM_023623,1300013D18Rik,chr19,45074700,45080397,+,None,None,9.041600225,9.081346644
NM_026183,1300013J15Rik,chr1,162925054,162968156,-,ES,None,16.93323803,5.078246482
NM_025831,1300014I06Rik,chr1,72092653,72145515,-,ES,None,40.44313047,33.05384519
NM_027918,1300017J02Rik,chr12,85975916,85995534,-,ES,None,4.464904725,4.362412493
NM_028791,1300018I05Rik,chr2,167952902,167960536,-,None,None,393.9612261,134.5560528
NM_027905,1300018J18Rik,chr19,23369705,23515419,-,None,None,42.81514273,249.3261568
NM_026886,1500001A10Rik,chr11,69472898,69478837,-,ES,None,4.851649205,4.775960544
NM_026890,1500001L15Rik,chr18,34687441,34703907,-,None,None,NA,NA
NM_026894,1500001M20Rik,chr7,33073102,33075079,-,None,None,877.2772161,957.266011
NM_028047,1500002O20Rik,chr11,75347904,75391235,+,ES,None,136.5648583,81.8316729
NM_019769,1500003O03Rik,chr3,69809983,69836973,+,None,None,161.0861572,543.5511927
NM_025897,1500003O22Rik,chr7,108671780,108672781,-,None,None,184.5761085,202.2856574
NM_178149,1500004A08Rik,chr15,101972395,101977546,+,None,None,236.132123,150.8943783
NM_033146,1500005A01Rik,chr10,24858505,24988579,-,ES,None,11.69757005,4.147355133
NM_028055,1500005I02Rik,chr15,78307805,78322277,-,None,None,9.160073293,75.82201177
NM_001013578,1500006O09Rik,chr18,22836424,23181666,-,None,None,NA,NA
NM_025902,1500009M05Rik,chr4,140739965,140810673,-,None,None,NA,NA
NM_001013256,1500010J02Rik,chr15,9450885,9474583,-,None,None,NA,NA
NM_026883,1500011H22Rik,chr6,113497461,113562062,+,None,None,1136.943865,655.661507
NM_001005525,1500011J06Rik,chr6,91178267,91238044,+,None,None,NA,NA
NM_001081005,1500012F01Rik,chr3,129816941,129823178,-,None,None,2782.796681,2175.411082
NM_024283,1500015O10Rik,chr13,34045105,34081539,+,None,None,6.33767828,157.4062778
NM_024172,1500019G21Rik,chr7,108684638,108685582,-,None,None,346.4348461,225.1595366
NM_026616,1500026D16Rik,chr3,90584884,90595370,-,None,None,NA,NA
NM_025892,1500031L02Rik,chr2,102874513,102893458,+,None,None,378.1841399,506.3262147
NM_001083891,1500032D16Rik,chr2,62503786,62985126,-,None,None,NA,NA
NM_026914,1500032L24Rik,chr19,5689130,5702862,+,None,None,1541.137257,2996.383075
NM_023831,1500035H01Rik,chr9,24375591,24376234,+,None,None,1272.48637,427.7314727
NM_029861,1500041B16Rik,chr15,94371899,94396212,+,None,None,6.67464383,6.587530654
NM_001039710,1500041J02Rik,chr13,99410054,99417124,-,None,None,NA,NA
NM_026399,1500041N16Rik,chr8,116521562,116531155,+,None,None,NA,NA
NM_177132,1520401A03Rik,chr2,127147938,127212811,-,None,None,NA,NA
NM_028056,1600002H07Rik,chr2,55252541,55410911,+,None,None,190.0767055,96.81360067
NM_027207,1600002K03Rik,chr1,189698646,189915672,+,ES,None,23.22738978,17.64641751
NM_001044380,1600002O04Rik,chr1,191581280,191623076,-,ES,None,NA,NA
NM_025904,1600012F09Rik,chr17,36693283,36694216,-,None,None,NA,NA
NM_001083880,1600012H06Rik,chr2,163545190,163550314,+,None,None,208.2464755,445.0229737
NM_001085385,1600014C10Rik,chr11,102164916,102181205,-,ES,None,6.314524519,6.07388785
NM_024237,1600015H20Rik,chr11,3786090,3795101,-,ES,None,4.122151809,4.098182177
NM_001081273,1600015I10Rik,chr7,31011528,31013737,+,None,None,5.354257071,5.337333419
NM_028050,1600016N20Rik,chr11,61488976,61536994,-,ES,None,50.17970567,17.58669002
NM_177718,1600021P15Rik,chr2,113792613,113866760,-,None,None,171.7997064,80.79516186
NM_028479,1600027N09Rik,chr3,98098942,98235772,+,None,None,159.7398903,179.0457504
NM_029639,1600029D21Rik,chr12,65972666,65981990,+,ES,None,5.825801514,5.647411659
NM_029285,1700001C02Rik,chr11,32126510,32132699,+,ES,None,4.375027379,4.352917547
NM_029296,1700001C19Rik,chr10,117153635,117195698,-,ES,None,4.539070824,4.497192665
NM_029288,1700001E04Rik,chr18,12333229,12379922,-,None,None,NA,NA
NM_027940,1700001F09Rik,chr18,44395457,44403031,+,None,None,NA,NA
NM_001008547,1700001J03Rik,chr6,119445404,119448234,+,None,None,NA,NA
NM_198000,1700001O22Rik,chr11,22913386,22923730,+,ES,None,NA,NA
NM_028156,1700001P01Rik,chr1,93181478,93192810,+,ES,None,4.674992629,4.60696359
NM_183280,1700003E24Rik,chrX,53578270,53685513,-,None,None,NA,NA
NM_029305,1700003F12Rik,chr11,58262343,58269118,-,ES,None,4.147951306,4.103855606
NM_027041,1700003M02Rik,chr5,104195745,104217666,-,None,None,4.875053041,4.848707671
NM_001024614,1700007G11Rik,chr6,85435235,85468544,-,None,None,5.289488549,5.203497161
NM_027031,1700007I06Rik,chr15,103172322,103194797,-,None,None,4.830266729,4.801930856
NM_027037,1700007K09Rik,chr7,99609227,99610178,+,None,None,4.369358706,4.335461295
NM_027040,1700007K13Rik,chr11,30326005,30371829,-,ES,None,392.0555175,4.634306619
NM_029292,1700008F21Rik,chr8,120677621,120687906,-,None,None,NA,NA
NM_029310,1700008G05Rik,chr4,41108726,41120065,+,None,None,4.959238658,4.893734106
NM_027952,1700008I05Rik,chrX,91251662,91369205,-,None,None,6.312088548,6.169509147
NM_001081095,1700009N14Rik,chr5,149885223,149904694,-,None,None,6.874817436,6.806076319
NM_001081275,1700009P17Rik,chr13,23464473,23473374,-,None,None,28.15814752,10.83033309
NM_029309,1700010A17Rik,chr3,132820004,132887597,-,None,None,4.269762196,4.24718865
NM_027401,1700010C24Rik,chr19,6341249,6353526,+,None,None,NA,NA
NM_029590,1700010D01Rik,chrX,130064352,130068274,+,None,None,NA,NA
NM_025851,1700010I14Rik,chr2,181004988,181064633,-,None,None,9.985275219,9.548409543
NM_025490,1700010M22Rik,chr3,90536518,90551793,-,None,None,6.298252658,6.20028198
NM_025487,1700011A15Rik,chr19,37272964,37287281,+,None,None,7.476570539,6.712525444
NM_028825,1700011F03Rik,chr7,33651769,33653731,-,None,None,5.973042531,5.864163017
NM_029372,1700011F14Rik,chr3,121163005,121163717,-,None,None,4.806420954,4.766300524
NM_025956,1700011H14Rik,chr18,39536518,39613219,-,None,None,7.00461836,7.541250794
NM_029294,1700011K15Rik,chr17,26508813,26520248,+,None,None,4.883585915,4.804024474
NM_029587,1700012A03Rik,chr7,33445952,33448055,-,None,None,6.558053331,6.46650534
NM_001033162,1700012A16Rik,chr1,168838149,168927682,+,ES,None,10.52074362,8.355496192
NM_029306,1700012B09Rik,chr9,24375610,24376144,+,None,None,NA,NA
NM_027950,1700012B18Rik,chr8,113945594,113968761,-,None,None,NA,NA
NM_025954,1700012G19Rik,chr2,163855061,163862554,-,None,None,248.7900997,572.4636983
NM_029660,1700012H05Rik,chr11,76814791,76848536,+,ES,ES,70.14426209,2.879433607
NM_173426,1700012H17Rik,chr5,136172685,136174064,+,None,None,151.4215173,15.54093299
NM_029588,1700012L04Rik,chrX,130150510,130155358,-,None,None,NA,NA
NM_028157,1700013B16Rik,chr17,36700988,36701925,-,None,None,NA,NA
NM_027063,1700013G24Rik,chr5,116669493,116683863,-,None,None,4.568270189,4.538463748
NM_027062,1700013L23Rik,chr3,82624309,82634012,-,None,None,NA,NA
NM_001039593,1700015E13Rik,chr13,23484527,23496322,-,None,None,5.046314503,5.011812772
NM_027077,1700016C15Rik,chr13,74070302,74086605,+,None,None,5.088991468,5.021009953
NM_024271,1700016D06Rik,chr8,74393914,74394741,+,None,None,5.815191529,5.662401544
NM_026317,1700016G05Rik,chr7,131201848,131237354,+,None,None,4.216770323,4.191155709
NM_198637,1700016K19Rik,chr1,177468867,177497527,+,ES,None,5.560522815,5.522343912
NM_028820,1700017B05Rik,chr9,107841158,107853108,+,None,None,154.0229884,329.3317832
NM_001081246,1700017N19Rik,chr14,18663255,18767945,-,None,None,7.262384439,7.140716389
NM_029597,1700018B08Rik,chr12,85492407,85507118,-,ES,None,NA,NA
NM_029324,1700018C11Rik,chr5,28172733,28185873,+,None,None,7.697643156,7.613348612
NM_027069,1700018F24Rik,chr6,91952613,92041508,+,None,None,NA,NA
NM_029326,1700018L24Rik,chr8,23876964,23895021,+,None,None,4.655436831,4.649999053
NM_144953,1700019D03Rik,chr1,11249176,11284089,+,ES,ES,NA,NA
NM_029601,1700019E19Rik,chr17,33722473,33732201,-,None,None,NA,NA
NM_029331,1700019G17Rik,chr7,119408976,119453663,+,None,None,NA,NA
NM_025619,1700019L03Rik,chr3,103068719,103093194,-,None,None,4.305758897,4.279862844
NM_027076,1700019M22Rik,chr17,31924980,32013849,-,None,None,NA,NA
NM_001039494,1700019N12Rik,chr10,77312293,77370586,-,ES,None,101.7592418,5.517311838
NM_026208,1700019N19Rik,chr3,88621974,88627303,+,None,None,6.433769345,6.267041829
NM_172818,1700019P01Rik,chr10,79668225,79691201,+,ES,None,NA,NA
NM_026443,1700020C11Rik,chr1,13611114,13645723,-,ES,None,309.2397117,179.4570735
NM_023781,1700020D05Rik,chr3,53551745,53569684,+,None,None,6.91841214,6.718241811
NM_025492,1700020L24Rik,chr15,102044030,102059920,-,None,None,4.421634271,4.398686207
NM_027405,1700020O03Rik,chr17,8121986,8135835,+,None,None,71.91175411,45.22505694
NM_029801,1700021C14Rik,chr4,148740085,148798806,-,None,None,163.1451076,62.45689137
NM_026411,1700021F05Rik,chr14,29841444,29848070,-,None,None,1259.143665,1014.105349
NM_001017419,1700021K02Rik,chr14,44298297,44310673,-,None,None,4.535210656,4.494012553
NM_172615,1700021K19Rik,chr2,180896676,180911850,+,None,None,25.18763336,71.39564932
NM_029602,1700022C21Rik,chr2,25699869,25740280,+,None,ES,625.8405068,115.9417539
NM_026088,1700022I11Rik,chr5,35968893,35996643,-,None,None,NA,NA
NM_025854,1700023B02Rik,chr11,31865632,31879651,+,ES,None,59.10779826,31.46040266
NM_027970,1700023E05Rik,chr11,87609778,87620588,+,ES,None,4.995895257,4.976584098
NM_029707,1700023I07Rik,chrX,130102962,130107820,+,None,None,9.133752618,8.826496173
NM_029339,1700023O11Rik,chr7,99641246,99642210,+,None,None,NA,NA
NM_029911,1700024D23Rik,chr17,28528714,28566378,+,None,None,NA,NA
NM_001034037,1700024G13Rik,chr18,64465732,64523855,+,None,None,NA,NA
NM_026469,1700025D03Rik,chrX,131089055,131093684,+,None,None,5.594675082,5.549551732
NM_029373,1700025E21Rik,chr7,119352859,119387740,+,None,None,NA,NA
NM_027074,1700025F22Rik,chr3,88771744,88798849,+,None,None,4.457361082,4.428000442
NM_197990,1700025G04Rik,chr13,67939530,67950708,-,None,NP,62.15478428,3251.73
NM_183254,1700025K23Rik,chr14,66699675,66702621,+,None,None,34.34076311,38.13021914
NM_029335,1700026D08Rik,chr7,140013330,140014268,-,None,None,4.905727098,4.837000613
NM_027283,1700026L06Rik,chr11,4041125,4060296,-,ES,None,9.247862562,8.199778738
NM_029604,1700027A23Rik,chr4,147435312,147438419,+,None,None,3.499527015,3.473871932
NM_029661,1700027D21Rik,chr14,113974088,115406638,+,None,None,NA,NA
NM_027081,1700027J05Rik,chr19,7342439,7408888,-,None,None,5.498395331,5.44459324
NM_029338,1700027N10Rik,chr10,87576846,87608193,+,ES,None,5.517463888,3.705756691
