"DHMS regions identified for K27, K4, and K36",,,,,
,,,,,
"K27, ESC enriched","K27, NPC enriched","K4, ESC enriched","K4, NPC enriched","K36, ESC enriched","K36, NPC enriched"
chr1:56912000-56931000,chr1:38483000-38496000,chr1:15776000-15777000,chr1:50874000-50875000,chr1:120783000-120793000,chr1:79669000-79703000
chr1:57719000-57720000,chr1:38541000-38545000,chr1:15868000-15869000,chr1:51150000-51154000,chr1:120821000-120838000,chr1:79717000-79737000
chr1:61572000-61575000,chr1:40422000-40429000,chr1:15877000-15879000,chr1:53724000-53726000,chr1:120861000-120873000,chr1:80380000-80533000
chr1:62637000-62642000,chr1:40579000-40587000,chr1:16505000-16506000,chr1:53884000-53885000,chr1:121894000-121900000,chr1:80537000-80542000
chr1:69039000-69041000,chr1:44290000-44293000,chr1:17712000-17713000,chr1:54590000-54591000,chr1:132954000-132964000,chr1:80545000-80557000
chr1:69309000-69312000,chr1:44527000-44528000,chr1:18043000-18045000,chr1:54948000-54949000,chr1:132982000-132995000,chr1:80576000-80590000
chr1:72509000-72511000,chr1:44530000-44537000,chr1:19089000-19090000,chr1:57332000-57333000,chr1:133942000-133950000,chr1:80598000-80605000
chr1:72805000-72810000,chr1:45855000-45866000,chr1:20936000-20938000,chr1:58529000-58530000,chr1:134026000-134028000,chr1:80629000-80635000
chr1:74001000-74004000,chr1:47232000-47236000,chr1:21241000-21242000,chr1:59710000-59712000,chr1:134146000-134161000,chr1:82109000-82133000
chr1:74053000-74057000,chr1:48347000-48351000,chr1:21257000-21258000,chr1:59733000-59735000,chr1:135546000-135548000,chr1:82140000-82166000
chr1:74355000-74358000,chr1:50112000-50115000,chr1:23913000-23914000,chr1:61182000-61184000,chr1:136123000-136146000,chr1:82639000-82643000
chr1:75024000-75025000,chr1:50150000-50152000,chr1:23922000-23924000,chr1:61197000-61198000,chr1:137069000-137074000,chr1:87881000-87888000
chr1:75242000-75244000,chr1:50262000-50266000,chr1:33580000-33583000,chr1:61200000-61201000,chr1:137584000-137587000,chr1:93263000-93283000
chr1:75258000-75261000,chr1:50458000-50463000,chr1:33693000-33694000,chr1:61785000-61786000,chr1:137643000-137650000,chr1:94015000-94020000
chr1:75267000-75275000,chr1:50516000-50521000,chr1:33889000-33892000,chr1:61809000-61811000,chr1:138401000-138412000,chr1:94853000-94865000
chr1:75303000-75314000,chr1:50560000-50568000,chr1:34018000-34023000,chr1:62178000-62180000,chr1:138416000-138426000,chr1:94870000-94921000
chr1:75332000-75338000,chr1:50573000-50586000,chr1:34048000-34049000,chr1:63696000-63699000,chr1:138496000-138501000,chr1:99667000-99672000
chr1:75339000-75343000,chr1:50588000-50599000,chr1:34051000-34054000,chr1:63838000-63841000,chr1:138520000-138528000,chr1:99711000-99716000
chr1:75365000-75370000,chr1:55928000-55932000,chr1:34059000-34061000,chr1:63998000-64000000,chr1:138531000-138543000,chr1:106599000-106613000
chr1:75372000-75376000,chr1:55934000-55936000,chr1:34122000-34123000,chr1:64052000-64055000,chr1:138679000-138700000,chr1:106620000-106640000
chr1:79736000-79739000,chr1:55967000-55974000,chr1:34377000-34379000,chr1:64064000-64065000,chr1:138724000-138731000,chr1:106643000-106652000
chr1:80635000-80639000,chr1:56068000-56076000,chr1:34416000-34418000,chr1:64076000-64081000,chr1:138742000-138767000,chr1:106656000-106661000
chr1:82166000-82170000,chr1:56112000-56119000,chr1:34430000-34431000,chr1:64125000-64126000,chr1:153410000-153417000,chr1:106665000-106675000
chr1:84814000-84817000,chr1:56195000-56203000,chr1:34443000-34444000,chr1:64129000-64130000,chr1:153423000-153429000,chr1:106681000-106683000
chr1:87847000-87852000,chr1:56253000-56254000,chr1:34455000-34456000,chr1:64213000-64215000,chr1:153459000-153481000,chr1:106699000-106707000
chr1:87876000-87881000,chr1:56297000-56313000,chr1:34481000-34483000,chr1:64469000-64470000,chr1:154869000-154879000,chr1:106747000-106756000
chr1:88958000-88959000,chr1:56577000-56581000,chr1:34524000-34525000,chr1:64471000-64473000,chr1:163081000-163087000,chr1:106761000-106776000
chr1:89093000-89099000,chr1:63210000-63219000,chr1:34580000-34581000,chr1:64592000-64594000,chr1:166274000-166292000,chr1:106779000-106786000
chr1:89306000-89310000,chr1:63222000-63231000,chr1:34668000-34669000,chr1:64626000-64628000,chr1:167980000-168002000,chr1:106800000-106823000
chr1:89312000-89313000,chr1:65595000-65607000,chr1:34695000-34697000,chr1:64773000-64775000,chr1:173286000-173291000,chr1:108033000-108042000
chr1:89339000-89342000,chr1:65770000-65774000,chr1:34746000-34748000,chr1:65114000-65115000,chr1:173295000-173302000,chr1:108050000-108055000
chr1:91750000-91766000,chr1:65832000-65837000,chr1:34750000-34751000,chr1:66109000-66112000,chr1:174321000-174335000,chr1:108112000-108121000
chr1:91773000-91774000,chr1:65867000-65871000,chr1:34874000-34875000,chr1:66120000-66121000,chr1:174342000-174346000,chr1:108167000-108216000
chr1:91823000-91827000,chr1:65888000-65890000,chr1:35956000-35959000,chr1:66128000-66130000,chr1:175264000-175278000,chr1:108222000-108228000
chr1:92803000-92806000,chr1:65921000-65925000,chr1:36005000-36024000,chr1:66144000-66146000,chr1:175286000-175298000,chr1:122929000-122935000
chr1:92828000-92831000,chr1:65967000-65970000,chr1:36028000-36030000,chr1:66152000-66156000,chr1:176046000-176052000,chr1:122941000-122950000
chr1:93173000-93177000,chr1:65992000-65996000,chr1:36031000-36034000,chr1:66158000-66162000,chr1:181340000-181342000,chr1:127736000-127738000
chr1:93190000-93197000,chr1:66010000-66013000,chr1:36186000-36187000,chr1:66254000-66259000,chr1:182421000-182426000,chr1:127852000-127856000
chr1:93242000-93245000,chr1:66026000-66030000,chr1:36213000-36215000,chr1:66319000-66323000,chr1:182731000-182735000,chr1:128520000-128523000
chr1:93288000-93289000,chr1:76164000-76170000,chr1:36218000-36219000,chr1:66747000-66749000,chr1:195207000-195210000,chr1:133230000-133251000
chr1:93630000-93633000,chr1:76428000-76435000,chr1:36259000-36262000,chr1:66794000-66795000,chr2:4839000-4849000,chr1:133267000-133276000
chr1:94662000-94664000,chr1:76445000-76449000,chr1:36476000-36478000,chr1:68906000-68908000,chr2:5815000-5840000,chr1:133368000-133375000
chr1:94678000-94680000,chr1:76479000-76483000,chr1:36512000-36516000,chr1:69524000-69525000,chr2:5844000-5850000,chr1:134731000-134737000
chr1:94851000-94854000,chr1:76589000-76594000,chr1:36626000-36628000,chr1:69618000-69620000,chr2:10256000-10272000,chr1:139717000-139796000
chr1:94929000-94934000,chr1:76637000-76644000,chr1:36713000-36718000,chr1:70409000-70410000,chr2:10277000-10282000,chr1:139814000-139819000
chr1:95006000-95010000,chr1:76675000-76676000,chr1:36730000-36731000,chr1:72679000-72680000,chr2:10330000-10340000,chr1:152325000-152378000
chr1:95065000-95068000,chr1:76736000-76742000,chr1:36801000-36802000,chr1:74476000-74478000,chr2:10347000-10359000,chr1:152381000-152488000
chr1:95231000-95233000,chr1:76781000-76789000,chr1:36848000-36850000,chr1:76167000-76168000,chr2:10460000-10465000,chr1:152492000-152542000
chr1:97497000-97499000,chr1:76798000-76850000,chr1:36889000-36890000,chr1:77008000-77011000,chr2:10497000-10506000,chr1:152565000-152574000
chr1:106596000-106599000,chr1:76868000-76876000,chr1:36928000-36933000,chr1:79702000-79705000,chr2:20440000-20462000,chr1:152577000-152590000
chr1:106821000-106823000,chr1:76905000-76910000,chr1:37045000-37047000,chr1:79712000-79714000,chr2:20468000-20495000,chr1:152609000-152623000
chr1:108540000-108543000,chr1:77127000-77132000,chr1:37346000-37348000,chr1:79735000-79737000,chr2:20498000-20502000,chr1:152629000-152642000
chr1:121833000-121838000,chr1:77775000-77783000,chr1:38154000-38156000,chr1:79739000-79740000,chr2:20505000-20512000,chr1:153642000-153666000
chr1:122422000-122444000,chr1:77978000-77989000,chr1:38162000-38163000,chr1:80217000-80218000,chr2:20518000-20568000,chr1:153669000-153715000
chr1:123005000-123007000,chr1:78028000-78034000,chr1:38571000-38574000,chr1:80240000-80241000,chr2:20571000-20586000,chr1:153724000-153728000
chr1:123353000-123356000,chr1:83352000-83355000,chr1:39137000-39139000,chr1:80399000-80400000,chr2:20590000-20602000,chr1:153731000-153777000
chr1:127504000-127505000,chr1:83436000-83444000,chr1:39306000-39307000,chr1:80531000-80535000,chr2:20606000-20617000,chr1:153782000-153798000
chr1:127738000-127744000,chr1:83543000-83546000,chr1:39314000-39317000,chr1:80536000-80537000,chr2:20622000-20653000,chr1:153813000-153849000
chr1:128318000-128321000,chr1:83562000-83567000,chr1:39398000-39399000,chr1:80586000-80590000,chr2:20656000-20708000,chr1:154176000-154197000
chr1:131101000-131103000,chr1:94366000-94378000,chr1:39542000-39543000,chr1:80591000-80594000,chr2:20716000-20730000,chr1:154207000-154217000
chr1:132916000-132927000,chr1:94419000-94426000,chr1:39594000-39596000,chr1:80597000-80601000,chr2:25066000-25077000,chr1:154232000-154240000
chr1:133070000-133072000,chr1:94453000-94457000,chr1:39665000-39666000,chr1:80635000-80637000,chr2:26411000-26422000,chr1:154247000-154326000
chr1:134707000-134712000,chr1:98663000-98665000,chr1:39829000-39830000,chr1:80958000-80961000,chr2:29909000-29913000,chr1:154331000-154350000
chr1:134722000-134731000,chr1:105961000-105967000,chr1:40211000-40212000,chr1:81144000-81146000,chr2:30299000-30307000,chr1:154358000-154386000
chr1:134755000-134760000,chr1:106055000-106059000,chr1:40270000-40271000,chr1:82008000-82010000,chr2:31295000-31326000,chr1:159394000-159398000
chr1:134762000-134767000,chr1:106155000-106159000,chr1:40625000-40627000,chr1:82028000-82029000,chr2:31330000-31345000,chr1:160084000-160100000
chr1:135155000-135158000,chr1:106166000-106168000,chr1:42436000-42437000,chr1:82156000-82158000,chr2:32454000-32457000,chr1:160102000-160106000
chr1:135636000-135638000,chr1:106253000-106259000,chr1:43979000-43980000,chr1:82161000-82162000,chr2:32479000-32485000,chr1:160124000-160128000
chr1:135724000-135726000,chr1:106359000-106363000,chr1:44496000-44498000,chr1:82163000-82166000,chr2:32494000-32496000,chr1:160141000-160151000
chr1:136040000-136042000,chr1:106377000-106380000,chr1:51517000-51518000,chr1:83785000-83786000,chr2:32724000-32734000,chr1:160176000-160187000
chr1:136049000-136053000,chr1:108807000-108814000,chr1:51568000-51570000,chr1:83966000-83968000,chr2:35227000-35236000,chr1:160202000-160208000
chr1:136114000-136117000,chr1:108821000-108824000,chr1:51953000-51954000,chr1:87626000-87627000,chr2:35244000-35257000,chr1:160267000-160276000
chr1:136329000-136331000,chr1:111815000-111821000,chr1:51991000-51992000,chr1:88727000-88728000,chr2:60101000-60132000,chr1:160301000-160309000
chr1:136803000-136805000,chr1:111944000-111949000,chr1:52376000-52377000,chr1:89616000-89617000,chr2:60150000-60172000,chr1:160313000-160322000
chr1:136901000-136903000,chr1:112912000-112915000,chr1:52896000-52898000,chr1:90529000-90531000,chr2:60176000-60181000,chr1:160342000-160367000
chr1:136979000-136980000,chr1:113078000-113081000,chr1:53651000-53652000,chr1:92063000-92065000,chr2:69228000-69245000,chr1:160376000-160381000
chr1:137400000-137403000,chr1:113224000-113226000,chr1:54870000-54872000,chr1:92403000-92404000,chr2:69247000-69258000,chr1:160400000-160405000
chr1:137733000-137736000,chr1:129169000-129186000,chr1:55307000-55309000,chr1:92804000-92807000,chr2:69267000-69271000,chr1:160410000-160417000
chr1:137866000-137872000,chr1:131502000-131504000,chr1:56921000-56923000,chr1:92830000-92831000,chr2:69279000-69315000,chr1:160437000-160440000
chr1:137922000-137924000,chr1:151287000-151290000,chr1:58311000-58313000,chr1:92885000-92887000,chr2:69317000-69327000,chr1:160450000-160457000
chr1:140602000-140603000,chr1:151416000-151417000,chr1:58681000-58682000,chr1:93040000-93041000,chr2:71151000-71156000,chr1:160471000-160479000
chr1:140653000-140668000,chr1:155395000-155397000,chr1:58740000-58741000,chr1:93356000-93357000,chr2:71207000-71212000,chr1:160503000-160509000
chr1:148258000-148262000,chr1:155400000-155403000,chr1:59366000-59369000,chr1:93905000-93908000,chr2:71593000-71602000,chr1:160511000-160529000
chr1:153851000-153852000,chr1:155406000-155410000,chr1:59392000-59396000,chr1:94024000-94027000,chr2:71617000-71630000,chr1:168228000-168246000
chr1:154162000-154164000,chr1:168468000-168471000,chr1:59427000-59433000,chr1:95311000-95312000,chr2:71633000-71658000,chr1:170027000-170029000
chr1:154275000-154277000,chr1:168476000-168478000,chr1:62229000-62230000,chr1:96535000-96537000,chr2:71676000-71703000,chr1:171836000-171844000
chr1:154385000-154389000,chr1:168485000-168490000,chr1:62672000-62673000,chr1:99427000-99428000,chr2:75579000-75584000,chr1:177301000-177305000
chr1:155963000-155969000,chr1:169880000-169888000,chr1:62676000-62678000,chr1:99693000-99695000,chr2:84256000-84258000,chr1:178582000-178589000
chr1:156856000-156862000,chr1:175952000-175959000,chr1:62701000-62706000,chr1:99753000-99755000,chr2:84265000-84275000,chr1:178595000-178610000
chr1:157004000-157010000,chr1:194301000-194302000,chr1:62711000-62712000,chr1:99924000-99925000,chr2:93658000-93670000,chr1:178632000-178650000
chr1:157462000-157466000,chr1:194604000-194615000,chr1:62730000-62731000,chr1:100549000-100551000,chr2:104361000-104373000,chr1:178855000-178865000
chr1:158039000-158044000,chr1:194632000-194639000,chr1:62819000-62820000,chr1:106594000-106596000,chr2:104631000-104648000,chr1:178883000-178899000
chr1:158147000-158149000,chr1:194679000-194690000,chr1:63040000-63045000,chr1:106597000-106603000,chr2:109722000-109725000,chr1:178905000-178917000
chr1:160191000-160193000,chr1:194693000-194710000,chr1:63073000-63075000,chr1:106620000-106624000,chr2:109784000-109792000,chr1:178964000-178971000
chr1:160199000-160200000,chr1:194721000-194738000,chr1:63134000-63136000,chr1:108001000-108007000,chr2:118931000-118941000,chr1:179010000-179018000
chr1:165144000-165153000,chr1:196901000-196903000,chr1:63137000-63140000,chr1:108070000-108072000,chr2:126248000-126281000,chr1:179034000-179043000
chr1:167117000-167122000,chr2:5492000-5497000,chr1:63148000-63151000,chr1:108145000-108148000,chr2:127831000-127844000,chr1:181511000-181516000
chr1:167538000-167545000,chr2:8601000-8603000,chr1:63173000-63174000,chr1:108186000-108187000,chr2:132514000-132521000,chr1:181949000-181958000
chr1:167677000-167682000,chr2:8623000-8631000,chr1:63182000-63184000,chr1:108188000-108189000,chr2:144325000-144330000,chr1:182170000-182181000
chr1:167881000-167886000,chr2:8651000-8680000,chr1:63207000-63209000,chr1:112803000-112806000,chr2:151838000-151843000,chr1:182249000-182260000
chr1:168090000-168094000,chr2:8785000-8790000,chr1:63244000-63245000,chr1:112847000-112848000,chr2:151872000-151877000,chr1:185771000-185776000
chr1:168144000-168148000,chr2:8862000-8869000,chr1:63380000-63383000,chr1:115028000-115031000,chr2:152043000-152050000,chr1:186427000-186432000
chr1:168216000-168219000,chr2:8872000-8888000,chr1:64161000-64162000,chr1:115184000-115186000,chr2:152803000-152807000,chr1:191818000-191867000
chr1:168244000-168249000,chr2:8968000-8980000,chr1:64664000-64674000,chr1:121657000-121659000,chr2:152816000-152831000,chr1:195048000-195067000
chr1:172744000-172746000,chr2:15535000-15539000,chr1:64986000-64987000,chr1:121662000-121664000,chr2:152840000-152841000,chr1:196323000-196355000
chr1:173890000-173895000,chr2:36104000-36106000,chr1:65044000-65045000,chr1:121943000-121947000,chr2:153345000-153380000,chr1:196358000-196376000
chr1:174081000-174082000,chr2:49394000-49407000,chr1:65245000-65246000,chr1:122915000-122917000,chr2:154069000-154071000,chr1:196380000-196442000
chr1:174154000-174184000,chr2:49451000-49456000,chr1:69310000-69312000,chr1:127261000-127262000,chr2:154089000-154096000,chr1:196446000-196519000
chr1:174398000-174400000,chr2:49460000-49485000,chr1:69760000-69761000,chr1:128487000-128489000,chr2:154145000-154152000,chr1:196730000-196743000
chr1:177328000-177331000,chr2:54049000-54052000,chr1:70968000-70969000,chr1:128513000-128515000,chr2:156135000-156150000,chr1:196782000-196787000
chr1:178670000-178672000,chr2:54932000-54937000,chr1:71578000-71585000,chr1:128656000-128659000,chr2:156155000-156157000,chr2:11636000-11642000
chr1:179095000-179096000,chr2:54989000-54993000,chr1:72140000-72145000,chr1:128747000-128749000,chr2:156186000-156230000,chr2:12025000-12030000
chr1:179159000-179161000,chr2:55838000-55843000,chr1:72149000-72152000,chr1:133171000-133173000,chr2:156527000-156531000,chr2:12045000-12047000
chr1:180684000-180694000,chr2:62969000-62973000,chr1:72246000-72248000,chr1:133176000-133178000,chr2:157287000-157288000,chr2:13493000-13501000
chr1:180749000-180755000,chr2:68882000-68894000,chr1:72574000-72575000,chr1:133208000-133209000,chr2:162747000-162781000,chr2:14531000-14544000
chr1:182167000-182174000,chr2:74229000-74233000,chr1:72739000-72740000,chr1:133287000-133288000,chr2:164121000-164127000,chr2:14881000-14883000
chr1:182238000-182255000,chr2:85235000-85242000,chr1:72757000-72758000,chr1:133295000-133297000,chr2:164257000-164262000,chr2:14888000-14895000
chr1:182772000-182778000,chr2:85340000-85344000,chr1:72803000-72806000,chr1:133310000-133317000,chr2:164448000-164458000,chr2:14901000-14905000
chr1:183189000-183192000,chr2:93994000-93998000,chr1:72807000-72808000,chr1:133348000-133353000,chr2:164501000-164520000,chr2:18600000-18602000
chr1:184349000-184361000,chr2:99037000-99041000,chr1:73970000-73971000,chr1:133357000-133359000,chr2:164532000-164547000,chr2:26148000-26154000
chr1:184584000-184587000,chr2:100967000-100981000,chr1:74001000-74003000,chr1:138160000-138161000,chr2:165729000-165760000,chr2:27028000-27030000
chr1:186417000-186438000,chr2:110894000-110899000,chr1:74057000-74059000,chr1:139168000-139169000,chr2:166893000-166918000,chr2:27053000-27057000
chr1:186510000-186514000,chr2:110930000-110935000,chr1:74140000-74142000,chr1:139406000-139408000,chr2:167775000-167793000,chr2:31787000-31792000
chr1:186579000-186585000,chr2:110945000-110948000,chr1:74240000-74242000,chr1:139715000-139723000,chr2:168438000-168456000,chr2:33582000-33586000
chr1:188404000-188408000,chr2:111031000-111038000,chr1:74301000-74303000,chr1:139724000-139727000,chr2:168674000-168681000,chr2:44811000-44826000
chr1:189305000-189313000,chr2:111820000-111824000,chr1:74309000-74311000,chr1:139744000-139745000,chr2:168698000-168717000,chr2:44829000-44846000
chr1:189351000-189354000,chr2:118937000-118941000,chr1:74322000-74325000,chr1:139889000-139891000,chr2:172243000-172248000,chr2:44917000-44923000
chr1:191042000-191047000,chr2:121048000-121051000,chr1:74327000-74332000,chr1:139892000-139893000,chr2:172905000-172906000,chr2:51869000-51878000
chr1:191869000-191879000,chr2:127932000-127937000,chr1:74352000-74353000,chr1:140412000-140414000,chr2:174069000-174080000,chr2:61451000-61455000
chr1:192677000-192682000,chr2:136058000-136061000,chr1:74646000-74648000,chr1:141152000-141154000,chr2:180394000-180399000,chr2:64712000-64720000
chr1:192883000-192887000,chr2:138398000-138401000,chr1:74681000-74682000,chr1:141241000-141243000,chr2:180564000-180571000,chr2:64727000-64731000
chr1:193684000-193687000,chr2:139294000-139299000,chr1:74704000-74705000,chr1:145402000-145407000,chr2:180621000-180625000,chr2:64754000-64760000
chr1:193790000-193793000,chr2:142131000-142137000,chr1:74715000-74718000,chr1:145765000-145766000,chr2:180658000-180672000,chr2:64791000-64792000
chr1:194470000-194473000,chr2:142385000-142393000,chr1:74725000-74729000,chr1:148289000-148292000,chr3:8496000-8516000,chr2:64807000-64820000
chr1:196320000-196323000,chr2:142396000-142411000,chr1:74734000-74735000,chr1:151703000-151706000,chr3:8523000-8548000,chr2:64894000-64903000
chr2:4317000-4320000,chr2:142416000-142436000,chr1:74739000-74742000,chr1:152739000-152740000,chr3:8918000-8922000,chr2:64922000-64929000
chr2:6017000-6021000,chr2:146781000-146786000,chr1:74749000-74751000,chr1:152752000-152755000,chr3:8928000-8947000,chr2:68110000-68113000
chr2:9787000-9816000,chr2:146793000-146800000,chr1:74786000-74793000,chr1:153849000-153851000,chr3:8949000-8954000,chr2:71862000-71875000
chr2:10149000-10150000,chr2:147071000-147074000,chr1:74825000-74827000,chr1:153925000-153930000,chr3:30832000-30837000,chr2:71915000-71929000
chr2:10291000-10296000,chr2:147140000-147143000,chr1:74833000-74837000,chr1:154163000-154165000,chr3:30845000-30848000,chr2:71939000-71944000
chr2:11420000-11423000,chr2:147167000-147196000,chr1:74881000-74886000,chr1:156858000-156859000,chr3:30874000-30882000,chr2:71955000-71961000
chr2:11467000-11473000,chr2:147215000-147230000,chr1:75092000-75093000,chr1:156974000-156977000,chr3:41526000-41530000,chr2:71978000-72013000
chr2:11623000-11627000,chr2:147241000-147247000,chr1:75101000-75106000,chr1:159016000-159018000,chr3:41556000-41589000,chr2:72015000-72060000
chr2:12927000-12930000,chr2:147270000-147275000,chr1:75135000-75137000,chr1:159080000-159081000,chr3:41595000-41624000,chr2:76812000-76897000
chr2:13492000-13493000,chr2:147338000-147363000,chr1:75146000-75148000,chr1:159091000-159095000,chr3:41653000-41661000,chr2:76900000-76957000
chr2:14521000-14525000,chr2:147390000-147399000,chr1:75160000-75161000,chr1:159245000-159248000,chr3:41664000-41707000,chr2:76962000-76969000
chr2:17943000-17946000,chr2:147420000-147422000,chr1:75228000-75230000,chr1:159743000-159746000,chr3:51285000-51290000,chr2:78728000-78733000
chr2:17948000-17952000,chr2:148638000-148640000,chr1:75243000-75246000,chr1:160190000-160192000,chr3:53200000-53202000,chr2:84131000-84206000
chr2:17954000-17972000,chr2:152825000-152837000,chr1:75258000-75260000,chr1:160200000-160203000,chr3:53742000-53744000,chr2:84209000-84224000
chr2:18522000-18528000,chr2:154091000-154095000,chr1:75264000-75273000,chr1:160222000-160224000,chr3:75732000-75737000,chr2:90253000-90264000
chr2:18589000-18602000,chr2:161257000-161272000,chr1:75305000-75307000,chr1:161577000-161578000,chr3:84246000-84266000,chr2:91282000-91290000
chr2:18605000-18618000,chr2:161349000-161372000,chr1:75308000-75313000,chr1:164131000-164132000,chr3:84271000-84273000,chr2:91308000-91315000
chr2:18717000-18720000,chr2:164547000-164553000,chr1:75328000-75331000,chr1:165088000-165089000,chr3:88524000-88525000,chr2:92992000-93006000
chr2:18914000-18916000,chr2:167771000-167775000,chr1:75332000-75334000,chr1:165091000-165092000,chr3:93441000-93444000,chr2:102611000-102666000
chr2:21059000-21062000,chr2:168453000-168464000,chr1:75341000-75342000,chr1:165118000-165119000,chr3:94857000-94865000,chr2:102691000-102698000
chr2:21286000-21290000,chr2:172897000-172903000,chr1:75365000-75367000,chr1:165176000-165177000,chr3:96644000-96648000,chr2:103494000-103510000
chr2:22469000-22477000,chr2:178260000-178295000,chr1:75369000-75371000,chr1:165521000-165522000,chr3:96771000-96774000,chr2:105481000-105483000
chr2:22625000-22627000,chr2:178297000-178305000,chr1:75374000-75377000,chr1:167769000-167773000,chr3:101169000-101238000,chr2:120359000-120376000
chr2:24226000-24228000,chr2:178309000-178334000,chr1:75386000-75388000,chr1:167779000-167780000,chr3:103261000-103296000,chr2:120390000-120402000
chr2:24295000-24303000,chr3:5736000-5746000,chr1:75392000-75395000,chr1:168238000-168239000,chr3:104777000-104786000,chr2:124305000-124330000
